Timestamp,HandLimb,Joint,Row,Column
31,Palm,surface,10,8,
31,Palm,surface,10,9,
31,Palm,surface,11,9,
32,Palm,surface,10,8,
32,Palm,surface,10,9,
32,Palm,surface,11,9,
32,Palm,surface,9,8,
32,Palm,surface,9,9,
32,Palm,surface,11,8,
32,Palm,surface,10,10,
32,Palm,surface,11,10,
32,Palm,surface,12,9,
33,Palm,surface,10,8,
33,Palm,surface,10,9,
33,Palm,surface,11,9,
33,Palm,surface,11,11,
33,Palm,surface,9,9,
33,Palm,surface,11,8,
33,Palm,surface,10,10,
33,Palm,surface,11,10,
33,Palm,surface,12,9,
33,Palm,surface,11,7,
33,Palm,surface,12,8,
33,Palm,surface,12,10,
33,Palm,surface,13,9,
34,Palm,surface,10,8,
34,Palm,surface,10,9,
34,Palm,surface,11,9,
34,Palm,surface,11,11,
34,Palm,surface,13,10,
34,Palm,surface,11,8,
34,Palm,surface,10,10,
34,Palm,surface,11,10,
34,Palm,surface,12,9,
34,Palm,surface,10,11,
34,Palm,surface,12,8,
34,Palm,surface,12,10,
34,Palm,surface,13,9,
34,Palm,surface,12,11,
35,Palm,surface,11,12,
35,Palm,surface,10,9,
35,Palm,surface,11,9,
35,Palm,surface,11,11,
35,Palm,surface,13,10,
35,Palm,surface,10,10,
35,Palm,surface,11,10,
35,Palm,surface,12,9,
35,Palm,surface,10,11,
35,Palm,surface,10,12,
35,Palm,surface,12,10,
35,Palm,surface,12,11,
35,Palm,surface,13,11,
35,Palm,surface,12,12,
36,Palm,surface,11,12,
36,Palm,surface,10,13,
36,Palm,surface,9,10,
36,Palm,surface,11,11,
36,Palm,surface,9,11,
36,Palm,surface,10,10,
36,Palm,surface,11,10,
36,Palm,surface,9,12,
36,Palm,surface,10,11,
36,Palm,surface,10,12,
36,Palm,surface,12,10,
36,Palm,surface,11,13,
36,Palm,surface,12,11,
36,Palm,surface,12,12,
37,Palm,surface,11,12,
37,Palm,surface,10,13,
37,Palm,surface,9,10,
37,Palm,surface,10,14,
37,Palm,surface,9,11,
37,Palm,surface,8,11,
37,Palm,surface,9,12,
37,Palm,surface,10,11,
37,Palm,surface,10,12,
37,Palm,surface,9,13,
37,Palm,surface,11,13,
37,Palm,surface,8,12,
37,Palm,surface,9,14,
37,Palm,surface,8,13,
38,Palm,surface,6,12,
38,Palm,surface,10,13,
38,Palm,surface,6,13,
38,Palm,surface,7,13,
38,Palm,surface,8,14,
38,Palm,surface,9,11,
38,Palm,surface,7,11,
38,Palm,surface,8,11,
38,Palm,surface,9,12,
38,Palm,surface,7,14,
38,Palm,surface,10,12,
38,Palm,surface,9,13,
38,Palm,surface,7,12,
38,Palm,surface,8,12,
