Timestamp,HandLimb,Joint,Row,Column
1694,Thumb,surface,3,0,
1694,Thumb,surface,2,0,
1694,Thumb,surface,4,0,
1695,Thumb,surface,3,0,
1695,Thumb,surface,2,0,
1695,Thumb,surface,4,0,
1695,Thumb,surface,2,1,
1695,Thumb,surface,3,1,
1695,Thumb,surface,1,0,
1696,Thumb,surface,3,0,
1696,Thumb,surface,2,0,
1696,Thumb,surface,4,0,
1696,Thumb,surface,2,1,
1696,Thumb,surface,3,1,
1696,Thumb,surface,1,0,
1696,Thumb,surface,4,1,
1697,Thumb,surface,3,0,
1697,Thumb,surface,2,0,
1697,Thumb,surface,4,0,
1697,Thumb,surface,2,1,
1697,Thumb,surface,3,1,
1697,Thumb,surface,1,0,
1697,Thumb,surface,4,1,
1697,Thumb,surface,1,1,
1698,Thumb,surface,3,0,
1698,Thumb,surface,2,0,
1698,Thumb,surface,4,0,
1698,Thumb,surface,2,1,
1698,Thumb,surface,3,1,
1699,Thumb,surface,3,0,
1699,Thumb,surface,5,0,
1699,Thumb,surface,4,0,
1700,Thumb,surface,3,0,
1700,Thumb,surface,5,0,
1700,Thumb,surface,4,0,
1701,Thumb,surface,6,0,
1702,Thumb,surface,7,0,
1702,Thumb,surface,6,0,
1707,Palm,surface,16,1,
1707,Palm,surface,16,0,
1707,Palm,surface,18,0,
1707,Palm,surface,17,1,
1707,Palm,surface,17,0,
1707,Palm,surface,15,0,
1708,Palm,surface,16,1,
1708,Palm,surface,16,0,
1708,Palm,surface,18,0,
1708,Palm,surface,17,1,
1708,Palm,surface,17,0,
1708,Palm,surface,15,0,
1708,Palm,surface,14,0,
1708,Palm,surface,15,1,
1709,Palm,surface,16,1,
1709,Palm,surface,16,0,
1709,Palm,surface,17,0,
1709,Palm,surface,15,0,
1709,Palm,surface,14,0,
1709,Palm,surface,15,1,
1749,Thumb,surface,0,3,
1749,Thumb,surface,0,5,
1749,Thumb,surface,0,4,
1750,Thumb,surface,1,2,
1750,Thumb,surface,0,3,
1750,Thumb,surface,1,5,
1750,Thumb,surface,1,4,
1750,Thumb,surface,0,5,
1750,Thumb,surface,0,4,
1750,Thumb,surface,0,2,
1750,Thumb,surface,1,3,
1750,Thumb,surface,2,4,
1750,Thumb,surface,2,3,
1750,Palm,surface,6,0,
1751,Thumb,surface,1,2,
1751,Thumb,surface,0,3,
1751,Thumb,surface,1,5,
1751,Thumb,surface,1,4,
1751,Thumb,surface,0,5,
1751,Thumb,surface,0,4,
1751,Thumb,surface,0,2,
1751,Thumb,surface,1,3,
1751,Thumb,surface,2,4,
1751,Thumb,surface,2,3,
1751,Thumb,surface,2,2,
1751,Palm,surface,7,0,
1751,Palm,surface,8,0,
1751,Thumb,surface,3,3,
1751,Thumb,surface,2,5,
1752,Thumb,surface,1,2,
1752,Thumb,surface,4,3,
1752,Thumb,surface,3,2,
1752,Thumb,surface,1,4,
1752,Palm,surface,10,0,
1752,Thumb,surface,4,4,
1752,Thumb,surface,1,3,
1752,Thumb,surface,2,4,
1752,Thumb,surface,2,3,
1752,Thumb,surface,2,2,
1752,Palm,surface,7,0,
1752,Palm,surface,8,0,
1752,Thumb,surface,3,3,
1752,Thumb,surface,2,5,
1752,Thumb,surface,3,4,
1752,Palm,surface,9,0,
1752,Thumb,surface,3,5,
1753,Thumb,surface,4,2,
1753,Thumb,surface,4,3,
1753,Thumb,surface,3,2,
1753,Palm,surface,10,1,
1753,Palm,surface,10,0,
1753,Thumb,surface,4,4,
1753,Palm,surface,11,0,
1753,Palm,surface,11,1,
1753,Thumb,surface,2,4,
1753,Thumb,surface,2,3,
1753,Thumb,surface,2,2,
1753,Palm,surface,9,1,
1753,Palm,surface,8,0,
1753,Thumb,surface,3,3,
1753,Thumb,surface,3,4,
1753,Palm,surface,9,0,
1753,Thumb,surface,3,5,
1753,Palm,surface,12,0,
1753,Thumb,surface,5,3,
1753,Thumb,surface,5,4,
1753,Thumb,surface,5,2,
1753,Thumb,surface,4,5,
1754,Thumb,surface,4,2,
1754,Thumb,surface,4,3,
1754,Thumb,surface,3,2,
1754,Palm,surface,10,1,
1754,Palm,surface,10,0,
1754,Thumb,surface,4,4,
1754,Palm,surface,11,0,
1754,Palm,surface,11,1,
1754,Palm,surface,13,0,
1754,Palm,surface,12,1,
1754,Thumb,surface,3,3,
1754,Thumb,surface,3,4,
1754,Palm,surface,9,0,
1754,Palm,surface,12,0,
1754,Thumb,surface,5,3,
1754,Thumb,surface,5,4,
1754,Thumb,surface,5,2,
1755,Palm,surface,14,1,
1755,Palm,surface,13,1,
1755,Thumb,surface,7,3,
1755,Palm,surface,13,0,
1755,Palm,surface,12,1,
1755,Palm,surface,15,0,
1755,Palm,surface,13,2,
1755,Thumb,surface,6,3,
1755,Palm,surface,12,0,
1755,Palm,surface,15,1,
1755,Palm,surface,14,0,
1756,Palm,surface,14,1,
1756,Palm,surface,13,1,
1756,Palm,surface,14,2,
1756,Palm,surface,13,0,
1756,Palm,surface,12,1,
1756,Palm,surface,15,0,
1756,Palm,surface,13,2,
1756,Palm,surface,15,2,
1756,Palm,surface,12,0,
1756,Palm,surface,15,1,
1756,Palm,surface,14,0,
